id,enunciado,metrica,unidad,umbral,metodo_verificacion,responsable,frecuencia,equidad,supervision_humana,monitoreo,nivel_riesgo
RNF-IA1-P01,La retroalimentación derivada del análisis de movimiento debe estar disponible con latencia acotada.,Latencia extremo a extremo (p95),segundos,<= 2,Cronometrar 100 eventos en un equipo de referencia y calcular el percentil 95 desde la recepción del frame evaluable hasta la presentación de la retroalimentación.,Zambrano Moya Angelo Paul,"En cada versión/release del módulo de visión, antes del despliegue.",Desagregar el p95 por los grupos definidos en RNF-IA1-EQ01 y RNF-IA1-EQ02 para detectar degradaciones sistemáticas; cualquier diferencia material debe documentarse antes del release.,"Si no cumple el umbral, la retroalimentación automática se marca como no confiable y el fisioterapeuta decide si repite, pausa o continúa la sesión sin usar esa salida automática.",Predespliegue: verificar por release. En producción: revisar mensualmente los logs de latencia y abrir incidencia si p95 supera 2 s.,Alto (clasificación interna; apoyo clínico no autónomo)
RNF-IA1-P02,La detección postural debe clasificar correctamente si la ejecución del ejercicio cumple el patrón postural esperado.,F1-score de detección postural correcta/incorrecta,F1 (0-1),>= 0.85,"Evaluar un conjunto de videos etiquetado manualmente por criterio fisioterapéutico, versionado y estratificado; calcular precisión, recall y F1 global y por grupo.",Zambrano Moya Angelo Paul,"En cada versión o reentrenamiento del modelo de visión, antes del despliegue.","Reportar F1 por grupos etarios y niveles de limitación definidos en RNF-IA1-EQ01/EQ02; si una brecha supera 0.05, el release queda sujeto a revisión.","El fisioterapeuta confirma la corrección postural. Si F1 no alcanza 0.85 o la confianza del caso es insuficiente, el sistema no presenta la corrección como definitiva y deriva el caso al fisioterapeuta.",Predespliegue: F1 por release. En producción: auditar mensualmente una muestra revisada por fisioterapeuta y alertar ante una caída de F1 >= 0.05 respecto de la línea base aprobada.,Alto (clasificación interna; apoyo clínico no autónomo)
RNF-IA1-P03,El conteo automático de repeticiones debe aproximarse al conteo manual de referencia del ejercicio.,Error absoluto medio (MAE) del conteo de repeticiones por serie,repeticiones por serie,<= 1 repetición,Comparar el conteo automático con el conteo manual de referencia en videos de prueba etiquetados y versionados; calcular el MAE global y por grupo.,Zambrano Moya Angelo Paul,"En cada versión o reentrenamiento del módulo de conteo, antes del despliegue.",Reportar el MAE por grupos etarios y niveles de limitación definidos en RNF-IA1-EQ01/EQ02 y revisar cualquier degradación sistemática antes de aprobar el release.,"El fisioterapeuta puede corregir el conteo. Si el MAE de validación supera 1 repetición o el caso queda marcado con baja confianza, el conteo se presenta como pendiente de revisión y no se usa como dato definitivo.",Predespliegue: MAE por release. En producción: auditar mensualmente una muestra con conteo manual y abrir incidencia si el MAE supera 1 repetición.,Alto (clasificación interna; apoyo clínico no autónomo)
RNF-IA1-EQ01,El desempeño de detección postural no debe mostrar una brecha injustificada entre grupos etarios evaluables.,Brecha absoluta de F1 entre grupos 18-39 y >= 40 años,puntos F1 (0-1),<= 0.05,Conjunto de evaluación estratificado por edad; calcular F1 por grupo y un intervalo bootstrap del 95 %; documentar tamaño de muestra.,Zambrano Moya Angelo Paul,En cada reentrenamiento o actualización del modelo de visión.,Grupos etarios 18-39 años y >= 40 años; el release no se aprueba sin analizar una brecha > 0.05.,El fisioterapeuta revisa manualmente los casos de confianza baja o pertenecientes a un grupo con desempeño fuera del umbral antes de aplicar la corrección.,Predespliegue: reporte por release. En producción: revisión trimestral de F1 y brecha por grupo etario.,Alto (clasificación interna; apoyo clínico no autónomo)
RNF-IA1-EQ02,El desempeño debe compararse entre niveles de limitación de movilidad definidos en el protocolo.,Brecha absoluta de recall entre grupos de limitación leve y moderada,puntos de recall (0-1),<= 0.05,Evaluación estratificada por nivel de limitación; calcular recall e intervalo por grupo y documentar el tamaño de muestra.,Zambrano Moya Angelo Paul,En cada reentrenamiento del modelo de visión.,Grupos de limitación de movilidad leve y moderada; toda brecha > 0.05 requiere revisión antes de aprobar el release.,El fisioterapeuta revisa los casos con recall bajo antes de confirmar el ejercicio como correcto o incorrecto.,Predespliegue: reporte por release. En producción: revisión trimestral de recall y brecha por nivel de limitación.,Alto (clasificación interna; apoyo clínico no autónomo)
RNF-IA1-XAI01,Toda corrección postural automática debe explicar qué se detectó y qué acción segura se recomienda.,"Longitud, tiempo de despliegue y claridad de la explicación",palabras / segundos / puntaje de claridad (1-5),<= 60 palabras; mostrada en <= 2 s; claridad media >= 4/5,"Prueba cronometrada e inspección de explicaciones, más cuestionario de comprensión con usuarios.",Contreras Chávez Kevin Germán,Antes de cada release mayor del módulo de visión.,Aplicar el cuestionario de claridad por los grupos definidos en RNF-IA1-EQ01/EQ02; ningún grupo debe quedar por debajo de 4/5 sin acción correctiva.,"Paciente y fisioterapeuta pueden solicitar la explicación completa; la explicación no sustituye la decisión del fisioterapeuta y, si no cumple el umbral, la corrección se deriva a revisión humana.",Predespliegue: prueba por release mayor. En producción: revisión semestral de comprensión y registro de reclamaciones o explicaciones rechazadas.,Alto (clasificación interna; apoyo clínico no autónomo)
RNF-IA2-P01,La priorización automática de eventos de seguimiento debe tener precisión mínima sobre un conjunto etiquetado por criterio experto.,Precisión para la clase 'requiere seguimiento prioritario',proporción (0-1),>= 0.80,Conjunto de evaluación etiquetado por al menos un fisioterapeuta responsable; calcular matriz de confusión y precisión.,Zambrano Moya Angelo Paul,En cada actualización del modelo de priorización.,Desagregar la precisión por grupos etarios y gravedad clínica; interpretar junto con RNF-IA2-EQ01/EQ02 antes de aprobar el release.,"El fisioterapeuta revisa y confirma cada alerta antes de tomar una acción clínica; si no se alcanza 0.80, la priorización automática no se usa como criterio de decisión.",Predespliegue: precisión por release. En producción: revisión mensual de alertas y de falsos positivos confirmados por fisioterapeuta.,Alto (clasificación interna; apoyo clínico no autónomo)
RNF-IA2-P02,El componente debe recuperar la mayoría de eventos realmente prioritarios.,Recall para la clase 'requiere seguimiento prioritario',proporción (0-1),>= 0.80,Usar el mismo conjunto de evaluación etiquetado y calcular matriz de confusión y recall.,Zambrano Moya Angelo Paul,En cada actualización del modelo de priorización.,Desagregar el recall por grupos etarios y gravedad clínica; interpretar junto con RNF-IA2-EQ01/EQ02 antes de aprobar el release.,"El fisioterapeuta revisa los eventos no priorizados en la muestra de validación. Si recall < 0.80, el sistema no puede usar la priorización automática como filtro exclusivo.",Predespliegue: recall por release. En producción: revisión mensual de falsos negativos detectados durante la supervisión clínica.,Alto (clasificación interna; apoyo clínico no autónomo)
RNF-IA2-P03,La clasificación/priorización debe responder sin retrasar el dashboard de seguimiento.,Latencia p95 por evento,segundos,<= 1,Cronometrar 100 eventos en un entorno de prueba documentado y calcular el percentil 95.,Zambrano Moya Angelo Paul,En cada release del módulo de priorización.,Desagregar la latencia por los grupos usados en RNF-IA2-EQ01/EQ02 para descartar degradaciones sistemáticas del servicio.,"Si la latencia supera 1 s de forma sostenida, el dashboard muestra estado degradado y el fisioterapeuta continúa con revisión manual sin depender de la prioridad automática.",Predespliegue: prueba por release. En producción: revisión mensual de logs de latencia y alerta operativa si p95 supera 1 s.,Alto (clasificación interna; apoyo clínico no autónomo)
RNF-IA2-EQ01,La sensibilidad del componente de priorización debe compararse entre grupos etarios incluidos en la evaluación.,Brecha absoluta de TPR entre grupos 18-39 y >= 40 años,puntos TPR (0-1),<= 0.05,Evaluación estratificada; calcular TPR e intervalos por grupo y documentar el tamaño de muestra.,Zambrano Moya Angelo Paul,En cada reentrenamiento del modelo de priorización.,Grupos etarios 18-39 años y >= 40 años; toda brecha > 0.05 requiere análisis antes del release.,El fisioterapeuta revisa los casos límite antes de descartar o escalar la alerta.,Predespliegue: reporte por release. En producción: revisión trimestral de TPR y brecha por grupo etario.,Alto (clasificación interna; apoyo clínico no autónomo)
