tema_id,rf_humano_id,rf_llm_id,completitud_humano,completitud_llm,ausencia_ambiguedad_humano,ausencia_ambiguedad_llm,verificabilidad_humano,verificabilidad_llm,correccion_fuente_humano,correccion_fuente_llm,consistencia_interna_humano,consistencia_interna_llm,puntaje_global_humano,puntaje_global_llm
TEMA-01,RF-04,RF-01,4.0,4.25,4.0,3.5,4.5,4.0,4.75,4.25,4.0,4.25,4.25,4.05
TEMA-02,RF-05,RF-02,4.5,4.25,3.75,4.0,4.25,3.75,4.75,4.5,3.75,3.5,4.2,4.0
TEMA-04,RF-09,RF-23,4.0,4.0,4.0,4.0,4.75,4.5,4.75,4.25,4.0,3.75,4.3,4.1
TEMA-06,RF-11,RF-06,3.5,3.25,3.75,3.75,4.25,3.75,4.75,4.25,4.25,4.0,4.1,3.8
TEMA-07,RF-12,RF-19,4.0,4.5,3.75,3.25,4.25,3.5,4.5,4.0,4.25,3.75,4.15,3.8
TEMA-09,RF-14,RF-27,3.75,4.25,3.25,3.75,4.0,4.5,4.0,4.0,4.25,3.75,3.85,4.05
TEMA-10,RF-15,RF-08,4.0,3.25,4.0,3.5,4.0,4.0,4.5,4.5,4.0,4.0,4.1,3.85
TEMA-13,RF-18,RF-14,4.25,4.0,4.0,3.25,4.0,4.5,4.25,4.75,4.25,4.0,4.15,4.1
TEMA-18,RF-28,RF-33,4.0,4.0,3.0,4.0,4.0,3.75,4.5,4.75,4.0,4.0,3.9,4.1
TEMA-19,RF-30,RF-26,3.5,3.5,3.0,4.25,4.25,4.0,4.5,4.25,3.75,4.0,3.8,4.0
TEMA-20,RF-31,RF-29,4.0,3.25,3.0,3.25,4.0,4.5,4.5,4.5,3.75,4.25,3.85,3.95
