item_id,descripcion
ITEM-001,El sistema deberá enviar avisos a familiares autorizados cuando el paciente requiera apoyo.
ITEM-002,El sistema deberá registrar las repeticiones realizadas por el paciente durante una rutina.
ITEM-003,El sistema deberá permitir generar reportes con indicadores cumplimiento observaciones y alertas.
ITEM-004,El sistema deberá guardar fecha hora rutina ejercicio realizado repeticiones y evidencia de cumplimiento.
ITEM-005,El sistema deberá permitir registrar signos vitales antes de una sesión terapéutica.
ITEM-006,El sistema deberá mostrar videos explicativos de los ejercicios asignados al paciente.
ITEM-007,El sistema deberá registrar los resultados de evaluaciones realizadas durante el seguimiento.
ITEM-008,El sistema deberá permitir que un familiar o cuidador autorizado consulte el avance general del paciente.
ITEM-009,El sistema deberá permitir asignar ejercicios con series repeticiones duración frecuencia e instrucciones al paciente.
ITEM-010,El sistema deberá registrar el tiempo empleado por el paciente al realizar una rutina.
ITEM-011,El sistema deberá permitir registrar resultados de pruebas ortopédicas o funcionales aplicadas en la evaluación inicial.
ITEM-012,El sistema deberá registrar el diagnóstico del paciente antes de iniciar una terapia física.
ITEM-013,El sistema deberá enviar recordatorios automáticos al paciente sobre rutinas pendientes.
ITEM-014,El sistema deberá analizar mediante IA los ejercicios del catálogo compatibles con análisis automático y patrón de movimiento configurado.
ITEM-015,El sistema deberá permitir al paciente iniciar y ejecutar rutinas asignadas desde casa.
ITEM-016,El sistema deberá permitir consultar la evolución del paciente mediante registros históricos.
ITEM-017,El sistema deberá evitar que movimientos mal ejecutados se registren como repeticiones válidas.
ITEM-018,El sistema deberá mostrar indicaciones sobre la ejecución correcta de los ejercicios.
ITEM-019,El sistema deberá mostrar el tiempo de descanso indicado entre ejercicios.
ITEM-020,El sistema deberá permitir consultar las observaciones de sesiones anteriores del paciente.
ITEM-021,El sistema deberá permitir activar la cámara para capturar la ejecución del ejercicio.
ITEM-022,El sistema deberá permitir contabilizar únicamente repeticiones realizadas correctamente.
ITEM-023,El sistema deberá permitir registrar el nivel de fatiga mediante escala Borg u otra escala definida.
ITEM-024,El sistema deberá registrar la evaluación del paciente durante el tratamiento terapéutico.
ITEM-025,El sistema deberá mostrar la rutina activa de ejercicios asignada al paciente.
ITEM-026,El sistema deberá registrar el nivel de fatiga o esfuerzo percibido por el paciente después de una rutina.
ITEM-027,El sistema deberá permitir consultar información compartida del progreso del paciente según autorización.
ITEM-028,El sistema deberá registrar el plan terapéutico asignado al paciente.
ITEM-029,El sistema deberá mostrar retroalimentación automática cuando detecte un error postural o repetición incorrecta.
ITEM-030,El sistema deberá generar informes fisioterapéuticos con información del tratamiento realizado.
ITEM-031,El sistema deberá permitir registrar tratamientos previos lesiones anteriores y tiempo de evolución del dolor o lesión.
ITEM-032,El sistema deberá registrar la actividad física del paciente durante la evaluación inicial.
ITEM-033,El sistema deberá permitir identificar errores de postura o movimientos compensatorios durante la ejecución.
ITEM-034,El sistema deberá registrar dificultades u observaciones reportadas por el paciente durante los ejercicios.
ITEM-035,El sistema deberá permitir registrar el nivel de dolor del paciente mediante escala EVA u otra escala definida.
ITEM-036,El sistema deberá permitir el inicio de sesión de fisioterapeutas pacientes administradores y familiares autorizados mediante credenciales válidas.
ITEM-037,El sistema deberá permitir al paciente consultar instrucciones imágenes o videos guía para ejecutar ejercicios.
ITEM-038,El sistema deberá generar recomendaciones basadas en desempeño sujetas a validación profesional.
ITEM-039,"El sistema deberá registrar evidencia de progreso del paciente mediante fotos, videos o reportes."
ITEM-040,El sistema deberá permitir visualizar evolución de dolor fatiga movilidad cumplimiento y desempeño.
ITEM-041,El sistema deberá registrar mediciones de progreso del paciente como rango de movimiento.
ITEM-042,El sistema deberá registrar los ejercicios indicados para realizar durante la terapia física.
ITEM-043,El sistema deberá permitir registrar la capacidad del paciente para realizar actividades diarias.
