archivo,fecha_sesion_original,fecha_incorporacion_repositorio,tipo,motivo
2026-06-17_Entrevista_Estudiante_Fisioterapia_EFT-01_Notas.jpeg,2026-06-17,2026-09-13,contemporánea,Nota manuscrita tomada durante la propia sesión de campo; incorporada al repositorio el 13/09/2026.
2026-06-17_Entrevista_Estudiante_Fisioterapia_EFT-02_Notas.jpeg,2026-06-17,2026-09-13,contemporánea,Nota manuscrita tomada durante la propia sesión de campo; incorporada al repositorio el 13/09/2026.
2026-06-17_Entrevista_Estudiante_Fisioterapia_EFT-03_Notas.jpeg,2026-06-17,2026-09-13,contemporánea,Nota manuscrita tomada durante la propia sesión de campo; incorporada al repositorio el 13/09/2026.
2026-06-17_Entrevista_Familiar_Cuidador_FAM-01_Notas.jpeg,2026-06-17,2026-09-13,contemporánea,Nota manuscrita tomada durante la propia sesión de campo; incorporada al repositorio el 13/09/2026.
2026-06-17_Entrevista_Familiar_Cuidador_FAM-02_Notas.jpeg,2026-06-17,2026-09-13,contemporánea,Nota manuscrita tomada durante la propia sesión de campo; incorporada al repositorio el 13/09/2026.
2026-06-17_Entrevista_Familiar_Cuidador_FAM-03_Notas.jpeg,2026-06-17,2026-09-13,contemporánea,Nota manuscrita tomada durante la propia sesión de campo; incorporada al repositorio el 13/09/2026.
2026-06-17_Entrevista_Familiar_Cuidador_FAM-04_Notas.jpeg,2026-06-17,2026-09-13,contemporánea,Nota manuscrita tomada durante la propia sesión de campo; incorporada al repositorio el 13/09/2026.
2026-06-17_Entrevista_Fisioterapeuta_FIS-01_Notas.jpeg,2026-06-17,2026-09-13,contemporánea,Nota manuscrita tomada durante la propia sesión de campo; incorporada al repositorio el 13/09/2026.
2026-07-13_Walkthrough_Paciente_EV2-PAC-03_Notas.jpeg,2026-07-13,2026-09-17,síntesis posterior,"Nota redactada el 17/09/2026 a partir de la transcripción de la sesión, no tomada durante la sesión original; no existía nota manuscrita contemporánea."
2026-07-14_Walkthrough_Paciente_EV2-PAC-01_Notas.jpeg,2026-07-14,2026-09-17,síntesis posterior,"Nota redactada el 17/09/2026 a partir de la transcripción de la sesión, no tomada durante la sesión original; no existía nota manuscrita contemporánea."
