item_id,origen_real,id_real
ITEM-001,llm,RF-30
ITEM-002,llm,RF-16
ITEM-003,human,RF-30
ITEM-004,human,RF-26
ITEM-005,human,RF-08
ITEM-006,llm,RF-14
ITEM-007,llm,RF-25
ITEM-008,human,RF-32
ITEM-009,human,RF-17
ITEM-010,llm,RF-17
ITEM-011,human,RF-10
ITEM-012,llm,RF-01
ITEM-013,human,RF-31
ITEM-014,human,RF-21
ITEM-015,human,RF-19
ITEM-016,llm,RF-21
ITEM-017,human,RF-24
ITEM-018,llm,RF-13
ITEM-019,llm,RF-12
ITEM-020,llm,RF-28
ITEM-021,human,RF-20
ITEM-022,human,RF-23
ITEM-023,human,RF-12
ITEM-024,llm,RF-07
ITEM-025,llm,RF-10
ITEM-026,llm,RF-19
ITEM-027,llm,RF-32
ITEM-028,llm,RF-08
ITEM-029,human,RF-25
ITEM-030,llm,RF-26
ITEM-031,human,RF-05
ITEM-032,llm,RF-04
ITEM-033,human,RF-22
ITEM-034,llm,RF-20
ITEM-035,human,RF-11
ITEM-036,human,RF-01
ITEM-037,human,RF-18
ITEM-038,human,RF-29
ITEM-039,llm,RF-24
ITEM-040,human,RF-27
ITEM-041,llm,RF-23
ITEM-042,llm,RF-09
ITEM-043,human,RF-13
ITEM-044,llm,RF-31
ITEM-045,llm,RF-18
ITEM-046,llm,RF-06
ITEM-047,human,RF-33
ITEM-048,llm,RF-29
ITEM-049,human,RF-14
ITEM-050,llm,RF-22
ITEM-051,human,RF-02
ITEM-052,human,RF-03
ITEM-053,human,RF-28
ITEM-054,llm,RF-05
ITEM-055,human,RF-06
ITEM-056,llm,RF-02
ITEM-057,llm,RF-27
ITEM-058,llm,RF-11
ITEM-059,human,RF-07
ITEM-060,llm,RF-15
ITEM-061,human,RF-09
ITEM-062,llm,RF-33
ITEM-063,human,RF-16
ITEM-064,llm,RF-03
ITEM-065,human,RF-04
ITEM-066,human,RF-15
