fecha,codigo_participante,tipo_sesion,transcripciones_asociadas,nota_campo_asociada,estado,observacion
2026-06-17,EFT-01,Entrevista,TRANSCRIPCIONES_EFT-01_Entrevista.txt,2026-06-17_Entrevista_Estudiante_Fisioterapia_EFT-01_Notas.jpeg,Nota disponible,Una nota asociada a la sesión de entrevista.
2026-06-17,EFT-02,Entrevista,TRANSCRIPCIONES_EFT-02_Entrevista.txt,2026-06-17_Entrevista_Estudiante_Fisioterapia_EFT-02_Notas.jpeg,Nota disponible,Una nota asociada a la sesión de entrevista.
2026-06-17,EFT-03,Entrevista,TRANSCRIPCIONES_EFT-03_Entrevista.txt,2026-06-17_Entrevista_Estudiante_Fisioterapia_EFT-03_Notas.jpeg,Nota disponible,Una nota asociada a la sesión de entrevista.
2026-06-17,FAM-01,Entrevista,TRANSCRIPCIONES_FAM-01_Entrevista.txt,2026-06-17_Entrevista_Familiar_Cuidador_FAM-01_Notas.jpeg,Nota disponible,Una nota asociada a la sesión de entrevista.
2026-06-17,FAM-02,Entrevista,TRANSCRIPCIONES_FAM-02_Entrevista.txt,2026-06-17_Entrevista_Familiar_Cuidador_FAM-02_Notas.jpeg,Nota disponible,Una nota asociada a la sesión de entrevista.
2026-06-17,FAM-03,Entrevista,TRANSCRIPCIONES_FAM-03_Entrevista.txt,2026-06-17_Entrevista_Familiar_Cuidador_FAM-03_Notas.jpeg,Nota disponible,Una nota asociada a la sesión de entrevista.
2026-06-17,FAM-04,Entrevista,TRANSCRIPCIONES_FAM-04_Entrevista.txt; TRANSCRIPCIONES_FAM-04 Entrevista.txt,2026-06-17_Entrevista_Familiar_Cuidador_FAM-04_Notas.jpeg,Nota disponible,Existen dos variantes históricas del archivo de transcripción para la misma entrevista; se conserva una sola nota de sesión.
2026-06-17,FIS-01,Entrevista,TRANSCRIPCIONES_FIS-01_Entrevista.txt,2026-06-17_Entrevista_Fisioterapeuta_FIS-01_Notas.jpeg,Nota disponible,Una nota asociada a la sesión de entrevista.
2026-07-13,EV2-PAC-03,Walkthrough,TRANSCRIPCIONES_EV2-PAC-03_Walkthrough.txt,2026-07-13_Walkthrough_Paciente_EV2-PAC-03_Notas.jpeg,Nota disponible,Una nota asociada a la fase de walkthrough.
2026-07-14,EV2-PAC-01,Walkthrough,TRANSCRIPCIONES_EV2-PAC-01_Walktrough.txt,2026-07-14_Walkthrough_Paciente_EV2-PAC-01_Notas.jpeg,Nota disponible,El nombre histórico de la transcripción usa 'Walktrough'; corresponde a walkthrough.
2026-07-19,EV2-PAC-01,Entrevista,TRANSCRIPCIONES_EV2-PAC-01_Entrevista.txt,2026-07-19_Entrevista_Paciente_EV2-PAC-01_Notas.jpeg,Nota disponible,Una nota asociada a la sesión de entrevista.
2026-07-19,EV2-PAC-03,Entrevista,TRANSCRIPCIONES_EV2-PAC-03_Entrevista.txt,2026-07-19_Entrevista_Paciente_EV2-PAC-03_Notas.jpeg,Nota disponible,Una nota asociada a la sesión de entrevista.
2026-07-19,EV2-PAC-04,Entrevista,TRANSCRIPCIONES_EV2-PAC-04_Entrevista.txt,2026-07-19_Entrevista_Paciente_EV2-PAC-04_Notas.jpeg,Nota disponible,La entrevista y el walkthrough del mismo participante se conservan como fases diferenciadas y cada una tiene su propia nota.
2026-07-19,WALK-NTEC-01,Entrevista + Walkthrough,TRANSCRIPCIONES_WALK-NTEC-01_Entrevista.txt; TRANSCRIPCIONES_WALK-NTEC-01_Walktrough.txt,2026-07-19_Walkthrough_No_Tecnico_WALK-NTEC-01_Notas.jpeg,Nota disponible,Una misma jornada produjo archivos separados de entrevista y walkthrough; se conserva una sola hoja de síntesis para la jornada.
