ID_requisito_IA,Tipo,Componente,Requisito_padre,Traza_hacia,Naturaleza_de_la_relacion,Umbral,Unidad,Metodo_de_comprobacion,Fila_matriz,Estado
RNF-IA1-P01,Rendimiento,IA-01 Visión por computadora,RF-21 a RF-25,CU-06; BDD-RNF-IA1-P01; CP-RNF-IA1-P01,Acota la latencia de la retroalimentación del análisis de movimiento,<= 2,segundos,Cronometrar 100 eventos en un equipo de referencia y calcular el percentil 95 desde la recepción del frame evaluable hasta la presentación de la retroalimentación.,TR-049,Trazado en la matriz general
RNF-IA1-P02,Rendimiento,IA-01 Visión por computadora,RF-21 a RF-25,CU-06; BDD-RNF-IA1-P02; CP-RNF-IA1-P02,Fija la exactitud mínima de la detección postural,>= 0.85,F1 (0-1),"Evaluar un conjunto de videos etiquetado manualmente por criterio fisioterapéutico, versionado y estratificado; calcular precisión, recall y F1 global y por grupo.",TR-061,Trazado en la matriz general
RNF-IA1-P03,Rendimiento,IA-01 Visión por computadora,RF-21 a RF-25,CU-06; BDD-RNF-IA1-P03; CP-RNF-IA1-P03,Fija el error máximo del conteo automático de repeticiones,<= 1 repetición,repeticiones por serie,Comparar el conteo automático con el conteo manual de referencia en videos de prueba etiquetados y versionados; calcular el MAE global y por grupo.,TR-062,Trazado en la matriz general
RNF-IA1-EQ01,Equidad,IA-01 Visión por computadora,RF-21 a RF-25,CU-06; BDD-RNF-IA1-EQ01; CP-RNF-IA1-EQ01,Controla la brecha de F1 entre grupos etarios,<= 0.05,puntos F1 (0-1),Conjunto de evaluación estratificado por edad; calcular F1 por grupo y un intervalo bootstrap del 95 %; documentar tamaño de muestra.,TR-050,Trazado en la matriz general
RNF-IA1-EQ02,Equidad,IA-01 Visión por computadora,RF-21 a RF-25,CU-06; BDD-RNF-IA1-EQ02; CP-RNF-IA1-EQ02,Controla la brecha de recall por limitación de movilidad,<= 0.05,puntos de recall (0-1),Evaluación estratificada por nivel de limitación; calcular recall e intervalo por grupo y documentar el tamaño de muestra.,TR-051,Trazado en la matriz general
RNF-IA1-XAI01,Explicabilidad,IA-01 Visión por computadora,RF-21 a RF-25,CU-06; BDD-RNF-IA1-XAI01; CP-RNF-IA1-XAI01,Concreta la explicación de las correcciones posturales,<= 60 palabras; mostrada en <= 2 s; claridad media >= 4/5,palabras / segundos / puntaje de claridad (1-5),"Prueba cronometrada e inspección de explicaciones, más cuestionario de comprensión con usuarios.",TR-052,Trazado en la matriz general
RNF-IA2-P01,Rendimiento,IA-02 Priorización de alertas y recomendaciones,RF-28; RF-29; RF-33,CU-08; BDD-RNF-IA2-P01; CP-RNF-IA2-P01,Fija la precisión mínima de la prioridad automática,>= 0.80,proporción (0-1),Conjunto de evaluación etiquetado por al menos un fisioterapeuta responsable; calcular matriz de confusión y precisión.,TR-053,Trazado en la matriz general
RNF-IA2-P02,Rendimiento,IA-02 Priorización de alertas y recomendaciones,RF-28; RF-29; RF-33,CU-08; BDD-RNF-IA2-P02; CP-RNF-IA2-P02,Fija el recall mínimo de eventos prioritarios,>= 0.80,proporción (0-1),Usar el mismo conjunto de evaluación etiquetado y calcular matriz de confusión y recall.,TR-054,Trazado en la matriz general
RNF-IA2-P03,Rendimiento,IA-02 Priorización de alertas y recomendaciones,RF-28; RF-29; RF-33,CU-08; BDD-RNF-IA2-P03; CP-RNF-IA2-P03,Acota la latencia de clasificación/priorización,<= 1,segundos,Cronometrar 100 eventos en un entorno de prueba documentado y calcular el percentil 95.,TR-055,Trazado en la matriz general
RNF-IA2-EQ01,Equidad,IA-02 Priorización de alertas y recomendaciones,RF-28; RF-29; RF-33,CU-08; BDD-RNF-IA2-EQ01; CP-RNF-IA2-EQ01,Controla la brecha de TPR entre grupos etarios,<= 0.05,puntos TPR (0-1),Evaluación estratificada; calcular TPR e intervalos por grupo y documentar el tamaño de muestra.,TR-056,Trazado en la matriz general
RNF-IA2-EQ02,Equidad,IA-02 Priorización de alertas y recomendaciones,RF-28; RF-29; RF-33,CU-08; BDD-RNF-IA2-EQ02; CP-RNF-IA2-EQ02,Controla la brecha de FPR por gravedad clínica,<= 0.05,puntos FPR (0-1),Evaluación estratificada; calcular FPR e intervalos por grupo y documentar el tamaño de muestra.,TR-057,Trazado en la matriz general
RNF-IA2-XAI01,Explicabilidad,IA-02 Priorización de alertas y recomendaciones,RF-28; RF-29; RF-33,CU-08; BDD-RNF-IA2-XAI01; CP-RNF-IA2-XAI01,Concreta la explicación de alertas y recomendaciones,hasta 3 factores principales; <= 60 palabras; <= 2 s; claridad media >= 4/5,número de factores / palabras / segundos / puntaje de claridad (1-5),Inspección de 20 salidas y cuestionario de comprensión con usuarios.,TR-058,Trazado en la matriz general
