tema_id,rf_humano_id,rf_humano_texto,rf_llm_id,rf_llm_texto,tipo
TEMA-01,RF-04,El sistema deberá permitir documentar la razón principal por la cual el paciente inicia terapia física.,RF-01,El sistema deberá registrar el diagnóstico del paciente antes de iniciar una terapia física.,pareado
TEMA-02,RF-05,El sistema deberá permitir registrar tratamientos previos lesiones anteriores y tiempo de evolución del dolor o lesión.,RF-02,El sistema deberá registrar los antecedentes clínicos del paciente durante el seguimiento terapéutico.,pareado
TEMA-03,RF-03,El sistema deberá permitir registrar nombres edad sexo contacto identificación y antecedentes relevantes del paciente.,RF-03,El sistema deberá registrar la edad del paciente para considerar la planificación del tratamiento.,pareado_debil
TEMA-04,RF-09,El sistema deberá permitir registrar mediciones de movilidad articular del paciente.,RF-23,El sistema deberá registrar mediciones de progreso del paciente como rango de movimiento.,pareado
TEMA-05,RF-10,El sistema deberá permitir registrar resultados de pruebas ortopédicas o funcionales aplicadas en la evaluación inicial.,RF-04,El sistema deberá registrar la actividad física del paciente durante la evaluación inicial.,pareado_debil
TEMA-06,RF-11,El sistema deberá permitir registrar el nivel de dolor del paciente mediante escala EVA u otra escala definida.,RF-06,El sistema deberá registrar el nivel de dolor del paciente mediante una escala de valoración.,pareado
TEMA-07,RF-12,El sistema deberá permitir registrar el nivel de fatiga mediante escala Borg u otra escala definida.,RF-19,El sistema deberá registrar el nivel de fatiga o esfuerzo percibido por el paciente después de una rutina.,pareado
TEMA-08,RF-13,El sistema deberá permitir registrar la capacidad del paciente para realizar actividades diarias.,RF-05,El sistema deberá registrar las limitaciones funcionales del paciente antes de la terapia.,pareado_debil
TEMA-09,RF-14,El sistema deberá permitir documentar observaciones sobre progreso dificultades o recomendaciones por sesión.,RF-27,El sistema deberá permitir registrar observaciones del fisioterapeuta sobre las sesiones del paciente.,pareado
TEMA-10,RF-15,El sistema deberá permitir crear un plan terapéutico según diagnóstico condición clínica gravedad y evolución del paciente.,RF-08,El sistema deberá registrar el plan terapéutico asignado al paciente.,pareado
TEMA-11,RF-16,El sistema deberá permitir registrar editar consultar o desactivar ejercicios isométricos aeróbicos de movilidad resistencia y fortalecimiento.,RF-09,El sistema deberá registrar los ejercicios indicados para realizar durante la terapia física.,pareado_debil
TEMA-12,RF-17,El sistema deberá permitir asignar ejercicios con series repeticiones duración frecuencia e instrucciones al paciente.,RF-10,El sistema deberá mostrar la rutina activa de ejercicios asignada al paciente.,pareado_parcial
TEMA-12b,RF-17,El sistema deberá permitir asignar ejercicios con series repeticiones duración frecuencia e instrucciones al paciente.,RF-11,El sistema deberá mostrar las repeticiones indicadas para cada ejercicio de la rutina.,pareado_parcial
TEMA-12c,RF-17,El sistema deberá permitir asignar ejercicios con series repeticiones duración frecuencia e instrucciones al paciente.,RF-12,El sistema deberá mostrar el tiempo de descanso indicado entre ejercicios.,pareado_parcial
TEMA-12d,RF-17,El sistema deberá permitir asignar ejercicios con series repeticiones duración frecuencia e instrucciones al paciente.,RF-13,El sistema deberá mostrar indicaciones sobre la ejecución correcta de los ejercicios.,pareado_parcial
TEMA-13,RF-18,El sistema deberá permitir al paciente consultar instrucciones imágenes o videos guía para ejecutar ejercicios.,RF-14,El sistema deberá mostrar videos explicativos de los ejercicios asignados al paciente.,pareado
TEMA-14,RF-19,El sistema deberá permitir al paciente iniciar y ejecutar rutinas asignadas desde casa.,RF-15,El sistema deberá registrar los ejercicios completados por el paciente durante una rutina.,pareado_debil
TEMA-15,RF-23,El sistema deberá permitir contabilizar únicamente repeticiones realizadas correctamente.,RF-16,El sistema deberá registrar las repeticiones realizadas por el paciente durante una rutina.,pareado_debil
TEMA-16,RF-26,El sistema deberá guardar fecha hora rutina ejercicio realizado repeticiones y evidencia de cumplimiento.,RF-17,El sistema deberá registrar el tiempo empleado por el paciente al realizar una rutina.,pareado_parcial
TEMA-16b,RF-26,El sistema deberá guardar fecha hora rutina ejercicio realizado repeticiones y evidencia de cumplimiento.,RF-24,"El sistema deberá registrar evidencia de progreso del paciente mediante fotos, videos o reportes.",pareado_parcial
TEMA-17,RF-27,El sistema deberá permitir visualizar evolución de dolor fatiga movilidad cumplimiento y desempeño.,RF-21,El sistema deberá permitir consultar la evolución del paciente mediante registros históricos.,pareado_parcial
TEMA-17b,RF-27,El sistema deberá permitir visualizar evolución de dolor fatiga movilidad cumplimiento y desempeño.,RF-22,"El sistema deberá permitir comparar registros de dolor, movilidad o progreso del paciente durante diferentes periodos.",pareado_parcial
TEMA-18,RF-28,El sistema deberá generar alertas terapéuticas ante incumplimientos niveles elevados de dolor fatiga o errores configurados.,RF-33,"El sistema deberá registrar alertas relacionadas con dolor, fatiga o dificultades durante la realización de ejercicios.",pareado
TEMA-19,RF-30,El sistema deberá permitir generar reportes con indicadores cumplimiento observaciones y alertas.,RF-26,El sistema deberá generar informes fisioterapéuticos con información del tratamiento realizado.,pareado
TEMA-20,RF-31,El sistema deberá enviar recordatorios automáticos al paciente sobre rutinas pendientes.,RF-29,El sistema deberá enviar recordatorios al paciente sobre ejercicios pendientes.,pareado
TEMA-21,RF-32,El sistema deberá permitir que un familiar o cuidador autorizado consulte el avance general del paciente.,RF-31,El sistema deberá permitir al familiar autorizado consultar el cumplimiento de la rutina del paciente.,pareado_parcial
TEMA-21b,RF-32,El sistema deberá permitir que un familiar o cuidador autorizado consulte el avance general del paciente.,RF-32,El sistema deberá permitir consultar información compartida del progreso del paciente según autorización.,pareado_parcial
